state,year,cigsale,lnincome,beer,age15to24,retprice
Mississippi,1995,107.5,9.785329,24,,153.9
Ohio,1995,111.7,10.08051,22.8,,155.6
Georgia,1995,100.3,10.05544,21.5,,153.8
South Carolina,1995,109.2,9.909873,24.9,,140
Pennsylvania,1995,95.4,10.13072,22.4,,161.7
West Virginia,1995,115.2,9.83427,20.9,,156.8
Alabama,1995,102.6,9.924404,20.6,,155.1
Rhode Island,1995,90.8,10.13503,22.2,,209.6
Colorado,1995,85.4,10.16635,24.4,,164.2
Kansas,1995,90.1,10.04495,19.1,,165.7
Illinois,1995,84.3,10.20035,23.2,,185.2
New Mexico,1996,65.7,9.878764,27.2,,170.8
Arkansas,1996,110.7,9.885234,20.1,,167.1
Idaho,1996,73.6,9.933634,20.6,,176.5
Iowa,1996,94,10.04901,23.1,,183.8
Minnesota,1996,81.7,10.18895,22.4,,208.6
California,1996,54.5,10.17864,19.1,,197.9
New Hampshire,1996,158,10.22895,31.1,,168.6
Delaware,1996,128.3,10.26239,24.6,,169.1
Vermont,1996,102.5,10.06101,23.3,,196.4
Colorado,1996,83.1,10.19144,24.8,,169.6
Tennessee,1996,119.2,10.0345,21.5,,155.9
Louisiana,1996,106.8,9.923664,26.5,,165.3
Wyoming,1996,110.3,10.01677,24.6,,162.5
Pennsylvania,1996,93.3,10.15595,22.4,,169.4
West Virginia,1996,112.7,9.845186,21,,157.3
Georgia,1996,102.7,10.07977,22,,156.1
Mississippi,1996,106.9,9.808868,24.3,,161.2
North Dakota,1996,80.8,9.960636,26.6,,182.7
Illinois,1996,81.8,10.22424,22.9,,188.7
Missouri,1996,124.1,10.07675,23.6,,159.8
Wisconsin,1996,92.1,10.09,27.6,,200.5
Connecticut,1996,76,10.47449,17.2,,206.3
Utah,1996,54,9.904766,13.2,,174.9
Maine,1996,100,9.987245,21.3,,186.9
Ohio,1996,107.6,10.09726,23.3,,159.7
Montana,1996,87.3,9.90176,26.7,,156.8
Oklahoma,1996,110.8,9.918806,19.9,,162.7
North Carolina,1996,129.7,10.04514,21.1,,145.6
Kansas,1996,88.7,10.07641,18.9,,167.7
Alabama,1996,101.4,9.940027,21,,158.3
Virginia,1996,104.6,10.17183,20.6,,159.6
Kentucky,1996,179,9.927487,19.1,,139.8
Nebraska,1996,86.2,10.07806,24.4,,175.5
South Dakota,1996,92.3,9.987908,24.3,,171.2
Nevada,1996,99,10.20678,35.2,,195
Texas,1996,74.6,10.05282,27.1,,188.4
South Carolina,1996,102.9,9.926654,25.4,,149.5
Indiana,1996,135.1,10.06089,20.3,,147.8
Rhode Island,1996,87.5,10.14552,21.7,,214.9
Illinois,1997,79.6,10.23659,22.9,,198.7
Ohio,1997,108.6,10.09318,23,,166.8
North Carolina,1997,125.6,10.05129,21.3,,152
Utah,1997,57,9.91558,13,,186.2
Vermont,1997,97.7,10.0434,2.5,,201.9
Kansas,1997,89.2,10.08714,19.7,,171.3
California,1997,53.8,10.17519,19.5,,200.3
New Mexico,1997,61.8,9.86426,27,,176
Indiana,1997,135.3,10.05211,20.3,,156.3
North Dakota,1997,77.5,9.908545,26.4,,194.1
Minnesota,1997,84.1,10.17544,22.2,,216.8
Louisiana,1997,105.3,9.926509,26.7,,166.9
Maine,1997,101.1,9.995829,21,,190.2
South Carolina,1997,124.5,9.936011,25.6,,153.9
Nevada,1997,95.6,10.18646,34.4,,198.5
Wisconsin,1997,91.9,10.09384,28.6,,200.7
Tennessee,1997,118.9,10.03078,21.3,,161.1
Iowa,1997,93.9,10.04928,23.3,,189.3
Virginia,1997,108,10.17056,20.5,,159.6
Colorado,1997,81.3,10.2039,24,,174.4
Mississippi,1997,106.3,9.803786,24.4,,168.6
Pennsylvania,1997,92.9,10.15234,22.1,,176.5
Nebraska,1997,85.5,10.06976,24.4,,184.8
Texas,1997,72.6,10.0708,27,,189.8
New Hampshire,1997,174.4,10.23085,31.3,,176.6
Kentucky,1997,186.8,9.932178,19.3,,145.6
South Dakota,1997,88.8,9.955563,24.1,,181.7
Idaho,1997,75,9.921952,20.1,,184.4
Montana,1997,88.9,9.886044,27,,164.9
Wyoming,1997,108.8,10.02561,24.6,,164.1
Oklahoma,1997,111.8,9.919992,20.1,,172
Arkansas,1997,108.7,9.883107,19.8,,181.3
Georgia,1997,100.6,10.08141,21.6,,158.9
Alabama,1997,104.9,9.93727,20.8,,167.4
West Virginia,1997,114.5,9.837127,21,,160.9
Connecticut,1997,75.9,10.48662,17.5,,208.5
Rhode Island,1997,90,10.15322,22.9,,217
Delaware,1997,124.1,10.26168,24.9,,171.9
Missouri,1997,120.6,10.07141,23.5,,163.4
West Virginia,1998,114.6,,,,171.1
Maine,1998,94.5,,,,219.6
Nevada,1998,102.4,,,,200.6
Delaware,1998,132.8,,,,179.2
Mississippi,1998,107,,,,175.8
North Carolina,1998,126,,,,167.6
Virginia,1998,105.6,,,,162.2
Connecticut,1998,75.5,,,,217.9
Ohio,1998,106.4,,,,172.9
South Dakota,1998,88.3,,,,192.8
New Mexico,1998,62.6,,,,183.8
Iowa,1998,94,,,,193.8
Indiana,1998,135.9,,,,166.8
South Carolina,1998,126.9,,,,165.3
Illinois,1998,80.3,,,,202.3
Pennsylvania,1998,92.1,,,,190.9
Nebraska,1998,83.1,,,,194.6
Minnesota,1998,83.2,,,,220.2
Tennessee,1998,119.7,,,,167.7
Vermont,1998,97,,,,213.9
Idaho,1998,78.9,,,,187.1
Montana,1998,89.1,,,,175.4
California,1998,52.3,,,,207.8
Colorado,1998,81.2,,,,185.8
Texas,1998,73.2,,,,201.8
Wisconsin,1998,88.7,,,,210.8
Louisiana,1998,103.2,,,,185.9
North Dakota,1998,79.1,,,,205.2
Kansas,1998,87.6,,,,184.3
Alabama,1998,106.2,,,,180.5
New Hampshire,1998,173.8,,,,197
Utah,1998,42.3,,,,222.7
Georgia,1998,100.5,,,,168.7
Kentucky,1998,171.3,,,,155.7
Wyoming,1998,102.9,,,,168.8
Arkansas,1998,109.5,,,,187.3
Rhode Island,1998,88.7,,,,232.2
Oklahoma,1998,112.2,,,,183.6
Missouri,1998,120.1,,,,173.8
Vermont,1999,94.1,,,,233.7
West Virginia,1999,112.4,,,,192.4
Iowa,1999,91.7,,,,213
Wisconsin,1999,84.4,,,,243.5
South Carolina,1999,109.4,,,,179.6
Missouri,1999,118,,,,197
Maine,1999,85.5,,,,267.8
Nebraska,1999,86.6,,,,214.6
Kentucky,1999,165.3,,,,179.2
California,1999,47.2,,,,224.9
Colorado,1999,79.6,,,,204.2
Connecticut,1999,73.4,,,,236.5
North Carolina,1999,113.1,,,,186.8
South Dakota,1999,83.5,,,,207.9
Georgia,1999,97.1,,,,188
Kansas,1999,83.3,,,,207
Nevada,1999,103.9,,,,225.8
Delaware,1999,139.5,,,,198.3
Utah,1999,43.9,,,,243.7
Louisiana,1999,101,,,,208
Idaho,1999,75.1,,,,210.7
Arkansas,1999,104.8,,,,206.9
Rhode Island,1999,86.9,,,,251.7
Indiana,1999,133.3,,,,190
North Dakota,1999,74.7,,,,223.6
Oklahoma,1999,111.4,,,,203.4
Ohio,1999,104,,,,193.2
New Hampshire,1999,171.7,,,,222.8
Minnesota,1999,80.7,,,,227.4
Tennessee,1999,115.6,,,,189.5
New Mexico,1999,59.7,,,,201.8
Pennsylvania,1999,91.1,,,,205
Wyoming,1999,104.8,,,,189.6
Mississippi,1999,103.9,,,,199.5
Texas,1999,67.6,,,,225
Alabama,1999,100.7,,,,195.6
Illinois,1999,72.2,,,,240.5
Montana,1999,82.6,,,,196.2
Virginia,1999,102.1,,,,183.7
Minnesota,2000,76,,,,303.6
Georgia,2000,88.4,,,,257.4
California,2000,41.6,,,,351.2
Wisconsin,2000,80.1,,,,312.8
Alabama,2000,96.2,,,,270.7
North Dakota,2000,72.5,,,,297.5
Louisiana,2000,104.3,,,,281.2
South Carolina,2000,103.9,,,,255.3
Colorado,2000,73,,,,281.3
Wyoming,2000,90.5,,,,267.1
Montana,2000,75.5,,,,260.7
Kentucky,2000,156.2,,,,243.4
Kansas,2000,79.8,,,,271.2
Nevada,2000,93.2,,,,303.5
Utah,2000,40.7,,,,312.9
Delaware,2000,140.7,,,,276.2
Arkansas,2000,99.4,,,,279.3
Oklahoma,2000,108.9,,,,272.6
South Dakota,2000,75.1,,,,272.9
Indiana,2000,125.5,,,,260.2
North Carolina,2000,109,,,,257.3
New Hampshire,2000,147.3,,,,313.9
Tennessee,2000,108.7,,,,261.2
Iowa,2000,88.9,,,,286.3
West Virginia,2000,107.9,,,,253.7
Texas,2000,69.3,,,,292.3
Missouri,2000,113.8,,,,258.8
Nebraska,2000,77.6,,,,288.3
Illinois,2000,70,,,,312.7
Pennsylvania,2000,87.9,,,,280.1
Virginia,2000,96.7,,,,252.8
Maine,2000,82.9,,,,330.5
Idaho,2000,66.9,,,,275.9
Mississippi,2000,97.2,,,,272
New Mexico,2000,53.8,,,,279.8
Connecticut,2000,71.4,,,,312.3
Vermont,2000,88.9,,,,301.1
Ohio,2000,99.9,,,,265.4
Rhode Island,2000,83.1,,,,322.9
